file_path,file_name,status,search_query,google_books_id,google_books_url,metadata_json,lookup_error,review_flag
/Users/alharkan/Downloads/Library/Lib 1 - Asus/Albert Einstein - His Life and Universe.epub,Albert Einstein - His Life and Universe.epub,matched,"Einstein Isaacson, Walter",d2WZDgAAQBAJ,https://books.google.com/books?id=d2WZDgAAQBAJ,"{""title"": ""Einstein"", ""subtitle"": ""His Life and Universe"", ""authors"": [""Walter Isaacson""], ""publisher"": ""Simon and Schuster"", ""publishedDate"": ""2017-04-11"", ""description"": ""From Isaacson, the bestselling author of \""Benjamin Franklin,\"" comes the first full biography of Albert Einstein since all his papers have become available--a fully realized portrait of a premier icon of his era."", ""industryIdentifiers"": [{""type"": ""ISBN_13"", ""identifier"": ""9781501171383""}, {""type"": ""ISBN_10"", ""identifier"": ""1501171380""}], ""readingModes"": {""text"": false, ""image"": false}, ""pageCount"": 704, ""printType"": ""BOOK"", ""categories"": [""Biography & Autobiography""], ""maturityRating"": ""NOT_MATURE"", ""allowAnonLogging"": false, ""contentVersion"": ""0.1.2.0.preview.0"", ""panelizationSummary"": {""containsEpubBubbles"": false, ""containsImageBubbles"": false}, ""imageLinks"": {""smallThumbnail"": ""http://books.google.com/books/content?id=d2WZDgAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api"", ""thumbnail"": ""http://books.google.com/books/content?id=d2WZDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api""}, ""language"": ""en"", ""previewLink"": ""http://books.google.co.id/books?id=d2WZDgAAQBAJ&printsec=frontcover&dq=Einstein+Isaacson,+Walter&hl=&cd=1&source=gbs_api"", ""infoLink"": ""http://books.google.co.id/books?id=d2WZDgAAQBAJ&dq=Einstein+Isaacson,+Walter&hl=&source=gbs_api"", ""canonicalVolumeLink"": ""https://books.google.com/books/about/Einstein.html?hl=&id=d2WZDgAAQBAJ""}",,
/Users/alharkan/Downloads/Library/Lib 1 - Asus/Albert Einstein - The World As I See It.pdf,Albert Einstein - The World As I See It.pdf,matched,Albert Einstein - The World As I See It,aNKOo94tO6cC,https://books.google.com/books?id=aNKOo94tO6cC,"{""title"": ""The World As I See It"", ""authors"": [""Albert Einstein""], ""publisher"": ""Book Tree"", ""publishedDate"": ""2007"", ""description"": ""Often called he most advanced and celebrated mind of the 20th Century, this book allows us to meet Albert Einstein as a person. Explores his beliefs, philosophical ideas, and opinions on many subjects."", ""industryIdentifiers"": [{""type"": ""ISBN_13"", ""identifier"": ""9781585092871""}, {""type"": ""ISBN_10"", ""identifier"": ""1585092878""}], ""readingModes"": {""text"": true, ""image"": true}, ""pageCount"": 129, ""printType"": ""BOOK"", ""categories"": [""History""], ""averageRating"": 4.5, ""ratingsCount"": 15, ""maturityRating"": ""NOT_MATURE"", ""allowAnonLogging"": false, ""contentVersion"": ""0.4.4.0.preview.3"", ""panelizationSummary"": {""containsEpubBubbles"": false, ""containsImageBubbles"": false}, ""imageLinks"": {""smallThumbnail"": ""http://books.google.com/books/content?id=aNKOo94tO6cC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api"", ""thumbnail"": ""http://books.google.com/books/content?id=aNKOo94tO6cC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api""}, ""language"": ""en"", ""previewLink"": ""http://books.google.co.id/books?id=aNKOo94tO6cC&pg=PA1&dq=Albert+Einstein+-+The+World+As+I+See+It&hl=&cd=1&source=gbs_api"", ""infoLink"": ""http://books.google.co.id/books?id=aNKOo94tO6cC&dq=Albert+Einstein+-+The+World+As+I+See+It&hl=&source=gbs_api"", ""canonicalVolumeLink"": ""https://books.google.com/books/about/The_World_As_I_See_It.html?hl=&id=aNKOo94tO6cC""}",,
/Users/alharkan/Downloads/Library/Lib 1 - Asus/Antoine de Saint-Exupéry - The Little Prince.pdf,Antoine de Saint-Exupéry - The Little Prince.pdf,matched,Antoine de Saint-Exupéry - The Little Prince,CQYg20lTHtMC,https://books.google.com/books?id=CQYg20lTHtMC,"{""title"": ""The Little Prince"", ""authors"": [""Antoine de Saint-Exupéry""], ""publisher"": ""Wordsworth Editions"", ""publishedDate"": ""1995"", ""description"": ""The story of an airman's discovery in the desert of a small boy from another planet.ther planet._"", ""industryIdentifiers"": [{""type"": ""ISBN_10"", ""identifier"": ""1853261580""}, {""type"": ""ISBN_13"", ""identifier"": ""9781853261589""}], ""readingModes"": {""text"": true, ""image"": true}, ""pageCount"": 116, ""printType"": ""BOOK"", ""categories"": [""Juvenile Fiction""], ""averageRating"": 4.5, ""ratingsCount"": 102, ""maturityRating"": ""NOT_MATURE"", ""allowAnonLogging"": false, ""contentVersion"": ""0.5.7.0.preview.3"", ""panelizationSummary"": {""containsEpubBubbles"": false, ""containsImageBubbles"": false}, ""imageLinks"": {""smallThumbnail"": ""http://books.google.com/books/content?id=CQYg20lTHtMC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api"", ""thumbnail"": ""http://books.google.com/books/content?id=CQYg20lTHtMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api""}, ""language"": ""en"", ""previewLink"": ""http://books.google.co.id/books?id=CQYg20lTHtMC&printsec=frontcover&dq=Antoine+de+Saint-Exup%C3%A9ry+-+The+Little+Prince&hl=&cd=1&source=gbs_api"", ""infoLink"": ""http://books.google.co.id/books?id=CQYg20lTHtMC&dq=Antoine+de+Saint-Exup%C3%A9ry+-+The+Little+Prince&hl=&source=gbs_api"", ""canonicalVolumeLink"": ""https://books.google.com/books/about/The_Little_Prince.html?hl=&id=CQYg20lTHtMC""}",,
"/Users/alharkan/Downloads/Library/Lib 1 - Asus/Ashlee Vance - Elon Musk Tesla, SpaceX, and the Quest for a Fantastic Future.epub","Ashlee Vance - Elon Musk Tesla, SpaceX, and the Quest for a Fantastic Future.epub",matched,"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future Ashlee Vance",_LFSBgAAQBAJ,https://books.google.com/books?id=_LFSBgAAQBAJ,"{""title"": ""Elon Musk"", ""subtitle"": ""How the Billionaire CEO of SpaceX and Tesla is Shaping our Future"", ""authors"": [""Ashlee Vance""], ""publisher"": ""Random House"", ""publishedDate"": ""2015-05-21"", ""description"": ""South African born Elon Musk is the renowned entrepreneur and innovator behind PayPal, SpaceX, Tesla, and SolarCity. Musk wants to save our planet; he wants to send citizens into space, to form a colony on Mars; he wants to make money while doing these things; and he wants us all to know about it. He is the real-life inspiration for the Iron Man series of films starring Robert Downey Junior. The personal tale of Musk’s life comes with all the trappings one associates with a great, drama-filled story. He was a freakishly bright kid who was bullied brutally at school, and abused by his father. In the midst of these rough conditions, and the violence of apartheid South Africa, Musk still thrived academically and attended the University of Pennsylvania, where he paid his own way through school by turning his house into a club and throwing massive parties. He started a pair of huge dot-com successes, including PayPal, which eBay acquired for $1.5 billion in 2002. Musk was forced out as CEO and so began his lost years in which he decided to go it alone and baffled friends by investing his fortune in rockets and electric cars. Meanwhile Musk’s marriage disintegrated as his technological obsessions took over his life ... Elon Musk is the Steve Jobs of the present and the future, and for the past twelve months, he has been shadowed by tech reporter, Ashlee Vance. Elon Musk: How the Billionaire CEO of Spacex and Tesla is Shaping our Future is an important, exciting and intelligent account of the real-life Iron Man."", ""industryIdentifiers"": [{""type"": ""ISBN_13"", ""identifier"": ""9780753550663""}, {""type"": ""ISBN_10"", ""identifier"": ""0753550660""}], ""readingModes"": {""text"": true, ""image"": false}, ""pageCount"": 402, ""printType"": ""BOOK"", ""categories"": [""Biography & Autobiography""], ""averageRating"": 5, ""ratingsCount"": 3, ""maturityRating"": ""NOT_MATURE"", ""allowAnonLogging"": true, ""contentVersion"": ""2.20.20.0.preview.2"", ""panelizationSummary"": {""containsEpubBubbles"": false, ""containsImageBubbles"": false}, ""imageLinks"": {""smallThumbnail"": ""http://books.google.com/books/content?id=_LFSBgAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api"", ""thumbnail"": ""http://books.google.com/books/content?id=_LFSBgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api""}, ""language"": ""en"", ""previewLink"": ""http://books.google.co.id/books?id=_LFSBgAAQBAJ&printsec=frontcover&dq=Elon+Musk:+Tesla,+SpaceX,+and+the+Quest+for+a+Fantastic+Future+Ashlee+Vance&hl=&cd=1&source=gbs_api"", ""infoLink"": ""https://play.google.com/store/books/details?id=_LFSBgAAQBAJ&source=gbs_api"", ""canonicalVolumeLink"": ""https://play.google.com/store/books/details?id=_LFSBgAAQBAJ""}",,
/Users/alharkan/Downloads/Library/Lib 1 - Asus/Blue Ocean Strategy.pdf,Blue Ocean Strategy.pdf,matched,Blue Ocean Strategy,4hUVDQAAQBAJ,https://books.google.com/books?id=4hUVDQAAQBAJ,"{""title"": ""Blue Ocean Strategy"", ""subtitle"": ""Menciptakan Ruang Pasar Tanpa Pesaing dan Menjadikan Persaingan Tidak Lagi Relevan"", ""authors"": [""W. Chan Kim""], ""publisher"": ""Noura Books"", ""publishedDate"": ""2016-09-16"", ""description"": ""Kesuksesan sebuah perusahaan kini tidak lagi diukur dengan memengkan persaingan berdarah-darah di samudra merah, tetapi dengan menciptakan ruang pasar baru yang belum termanfaatkan-samudra biru (Blue Ocean Strategy). Lebih dari sepuluh tahun strategi ini digagas dan berhasil dipraktikkan oleh banyak perusahaan. Berdasarkan penelitian pada lebih dari 30 industri selama 100 tahun, penulis menunjukkan cara membuat persaingan menjadi tidak relevan lagi. Namun demikian, beberapa tren global telah berubah dengan sangat cepat, lebih dari yang bisa kita bayangkan. Penciptaan samudra biru saat ini menjadi hal strategis yang justru semakin penting untuk dilakukan, setelah munculnya pertanyaan-pertanyaan baru. - Semua samudra biru pada akhirnya akan ditiru dan berubah menjadi merah, lalu bagaimana memperbarui samudra biru dari waktu ke waktu? - Apa yang harus kita lakukan bila samudra biru kita berubah merah? - Bagaimana menghindari perangkap samudra merah? Pertanyaan-pertanyaan itulah yang mendorong penulis membuat Edisi Pengembangan buku ini, dengan menambahkan 3 bab untuk menjawab hal-hal terkini yang belum ada di edisi sebelumnya."", ""industryIdentifiers"": [{""type"": ""ISBN_13"", ""identifier"": ""9786023851201""}, {""type"": ""ISBN_10"", ""identifier"": ""6023851207""}], ""readingModes"": {""text"": true, ""image"": false}, ""pageCount"": 377, ""printType"": ""BOOK"", ""categories"": [""Business & Economics""], ""averageRating"": 5, ""ratingsCount"": 1, ""maturityRating"": ""NOT_MATURE"", ""allowAnonLogging"": true, ""contentVersion"": ""0.2.3.0.preview.2"", ""panelizationSummary"": {""containsEpubBubbles"": false, ""containsImageBubbles"": false}, ""imageLinks"": {""smallThumbnail"": ""http://books.google.com/books/content?id=4hUVDQAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api"", ""thumbnail"": ""http://books.google.com/books/content?id=4hUVDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api""}, ""language"": ""id"", ""previewLink"": ""http://books.google.co.id/books?id=4hUVDQAAQBAJ&printsec=frontcover&dq=Blue+Ocean+Strategy&hl=&cd=1&source=gbs_api"", ""infoLink"": ""http://books.google.co.id/books?id=4hUVDQAAQBAJ&dq=Blue+Ocean+Strategy&hl=&source=gbs_api"", ""canonicalVolumeLink"": ""https://books.google.com/books/about/Blue_Ocean_Strategy.html?hl=&id=4hUVDQAAQBAJ""}",,
/Users/alharkan/Downloads/Library/Lib 1 - Asus/Cal Newport - So Good They Can't Ignore You.pdf,Cal Newport - So Good They Can't Ignore You.pdf,matched,Cal Newport - So Good They Can't Ignore You,g13ZDAAAQBAJ,https://books.google.com/books?id=g13ZDAAAQBAJ,"{""title"": ""So Good They Can't Ignore You"", ""authors"": [""Cal Newport""], ""publisher"": ""Hachette UK"", ""publishedDate"": ""2016-12-01"", ""description"": ""Cal Newport's clearly-written manifesto flies in the face of conventional wisdom by suggesting that it should be a person's talent and skill - and not necessarily their passion - that determines their career path. Newport, who graduated from Dartmouth College (Phi Beta Kappa) and earned a PhD. from MIT, contends that trying to find what drives us, instead of focusing on areas in which we naturally excel, is ultimately harmful and frustrating to job seekers. The title is a direct quote from comedian Steve Martin who, when once asked why he was successful in his career, immediately replied: \""Be so good they can't ignore you\"" and that's the main basis for Newport's book. Skill and ability trump passion. Inspired by former Apple CEO Steve Jobs' famous Stanford University commencement speech in which Jobs urges idealistic grads to chase their dreams, Newport takes issue with that advice, claiming that not only is thsi advice Pollyannish, but that Jobs himself never followed his own advice. From there, Newport presents compelling scientific and contemporary case study evidence that the key to one's career success is to find out what you do well, where you have built up your 'career capital,' and then to put all of your efforts into that direction."", ""industryIdentifiers"": [{""type"": ""ISBN_13"", ""identifier"": ""9780349415871""}, {""type"": ""ISBN_10"", ""identifier"": ""0349415870""}], ""readingModes"": {""text"": true, ""image"": false}, ""pageCount"": 171, ""printType"": ""BOOK"", ""categories"": [""Business & Economics""], ""maturityRating"": ""NOT_MATURE"", ""allowAnonLogging"": true, ""contentVersion"": ""1.3.4.0.preview.2"", ""panelizationSummary"": {""containsEpubBubbles"": false, ""containsImageBubbles"": false}, ""imageLinks"": {""smallThumbnail"": ""http://books.google.com/books/content?id=g13ZDAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api"", ""thumbnail"": ""http://books.google.com/books/content?id=g13ZDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api""}, ""language"": ""en"", ""previewLink"": ""http://books.google.co.id/books?id=g13ZDAAAQBAJ&pg=PT100&dq=Cal+Newport+-+So+Good+They+Can%27t+Ignore+You&hl=&cd=1&source=gbs_api"", ""infoLink"": ""http://books.google.co.id/books?id=g13ZDAAAQBAJ&dq=Cal+Newport+-+So+Good+They+Can%27t+Ignore+You&hl=&source=gbs_api"", ""canonicalVolumeLink"": ""https://books.google.com/books/about/So_Good_They_Can_t_Ignore_You.html?hl=&id=g13ZDAAAQBAJ""}",,
/Users/alharkan/Downloads/Library/Lib 1 - Asus/Carl Sagan - Cosmos (1985).pdf,Carl Sagan - Cosmos (1985).pdf,matched,Carl Sagan - Cosmos,EIqoiww1r9sC,https://books.google.com/books?id=EIqoiww1r9sC,"{""title"": ""Cosmos"", ""authors"": [""Carl Sagan""], ""publisher"": ""Ballantine Books"", ""publishedDate"": ""2011-07-06"", ""description"": ""Renowned astronomer Carl Sagan’s classic bestseller that “dives into the past, present, and future of science, dealing with the mind-staggering enormity of the cosmos in which we exist” (Associated Press)—with an Introduction by Ann Druyan and a Foreword by Neil deGrasse Tyson “Sagan dazzles the mind with the miracle of our survival, framed by the stately galaxies of space.”—Cosmopolitan THE INSPIRATION FOR THE FOX MINISERIES COSMOS: POSSIBLE WORLDS, HOSTED BY NEIL DEGRASSE TYSON AND STARRING SETH MACFARLANE AND SIR PATRICK STEWART In clear-eyed prose, Carl Sagan reveals a jewel-like blue world inhabited by a life form that is just beginning to discover its own identity and to venture into the vast ocean of space. Featuring full-color illustrations, Cosmos retraces the fourteen billion years of cosmic evolution that have transformed matter into consciousness, exploring such topics as the origin of life, the human brain, Egyptian hieroglyphics, spacecraft missions, the death of the Sun, the evolution of galaxies, and the forces and individuals who helped shape modern science."", ""industryIdentifiers"": [{""type"": ""ISBN_13"", ""identifier"": ""9780307800985""}, {""type"": ""ISBN_10"", ""identifier"": ""0307800989""}], ""readingModes"": {""text"": true, ""image"": false}, ""pageCount"": 390, ""printType"": ""BOOK"", ""categories"": [""Science""], ""averageRating"": 5, ""ratingsCount"": 4, ""maturityRating"": ""NOT_MATURE"", ""allowAnonLogging"": true, ""contentVersion"": ""1.12.14.0.preview.2"", ""panelizationSummary"": {""containsEpubBubbles"": false, ""containsImageBubbles"": false}, ""imageLinks"": {""smallThumbnail"": ""http://books.google.com/books/content?id=EIqoiww1r9sC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api"", ""thumbnail"": ""http://books.google.com/books/content?id=EIqoiww1r9sC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api""}, ""language"": ""en"", ""previewLink"": ""http://books.google.co.id/books?id=EIqoiww1r9sC&printsec=frontcover&dq=Carl+Sagan+-+Cosmos&hl=&cd=1&source=gbs_api"", ""infoLink"": ""https://play.google.com/store/books/details?id=EIqoiww1r9sC&source=gbs_api"", ""canonicalVolumeLink"": ""https://play.google.com/store/books/details?id=EIqoiww1r9sC""}",,
/Users/alharkan/Downloads/Library/Lib 1 - Asus/Chicken Soup For The Soul.pdf,Chicken Soup For The Soul.pdf,matched,MANUAL:XI0F7jSjg44C,XI0F7jSjg44C,https://books.google.co.id/books?id=XI0F7jSjg44C&redir_esc=y,"{""title"": ""Chicken Soup for the Soul"", ""subtitle"": ""Stories to Open the Heart and Rekindle the Spirit"", ""authors"": [""Jack Canfield"", ""Mark Victor Hansen""], ""publisher"": ""Simon and Schuster"", ""publishedDate"": ""2012-08-07"", ""description"": ""Rediscover the power of inspiration with timeless stories about the everyday miracles that illuminate the best of the human spirit. Whether you're discovering Chicken Soup for the first time or are a long time fan, this volume will inspire you to be a better person, reach for your highest potential, share your love and embrace the world around you."", ""industryIdentifiers"": [{""type"": ""ISBN_10"", ""identifier"": ""1453279911""}, {""type"": ""ISBN_13"", ""identifier"": ""9781453279915""}], ""readingModes"": {""text"": true, ""image"": false}, ""pageCount"": 480, ""printedPageCount"": 208, ""printType"": ""BOOK"", ""categories"": [""Self-Help / Motivational & Inspirational""], ""averageRating"": 3, ""ratingsCount"": 2, ""maturityRating"": ""NOT_MATURE"", ""allowAnonLogging"": true, ""contentVersion"": ""0.12.13.0.preview.2"", ""panelizationSummary"": {""containsEpubBubbles"": false, ""containsImageBubbles"": false}, ""imageLinks"": {""smallThumbnail"": ""http://books.google.com/books/content?id=XI0F7jSjg44C&printsec=frontcover&img=1&zoom=5&edge=curl&imgtk=AFLRE73cGgGT8RxeKXMPwpjkz2uC5mhMFZuH8UKDsK0IrmZwB0X8-xu_O7IxgskCjAXvlgbJk-9kI2vrVTnYpZlXUYJ3Bez34UXi3sEY03M9ETlUf-EhJM_zI4xy7FHVKOfpCX7DH90W&source=gbs_api"", ""thumbnail"": ""http://books.google.com/books/content?id=XI0F7jSjg44C&printsec=frontcover&img=1&zoom=1&edge=curl&imgtk=AFLRE73_uyhU0VEhaIeJUsSINTrhksGgI3cryLPVQzssfSuEbf9N4YoZkfESXXcTjdVfup06kuuuGocKlcpzUEVZtv9D4zXYuwvOY-dG7cbLFKCFAjsRGaHGvOTGHyPLR64piJX31nFf&source=gbs_api"", ""small"": ""http://books.google.com/books/content?id=XI0F7jSjg44C&printsec=frontcover&img=1&zoom=2&edge=curl&imgtk=AFLRE70RCCLiSOX9KGA-Cb6Lz-tQAqERvjI_-rEU1NRiPwCOw9wzp7oraKus41m0SCX5GgJo4Jb8LBwviFCuHjC0unHyANqO9RFQlZsxZkYQqr6sxtPq8Qye4-EWbVr1_Y-PRtJtHZpw&source=gbs_api"", ""medium"": ""http://books.google.com/books/content?id=XI0F7jSjg44C&printsec=frontcover&img=1&zoom=3&edge=curl&imgtk=AFLRE737W3PSawYdOOzqO3lOAs8Sx2pvC23nHznfQa0OqxuM4Ap2DF4P704239dJfbdcwDnKeJWDayJ0kVz3Pgs-uEtZEBQ-dxWzO5PrVCOHQAJFsKIuFO2vQ8gKO2Qwg1NV9oyaC9wt&source=gbs_api"", ""large"": ""http://books.google.com/books/content?id=XI0F7jSjg44C&printsec=frontcover&img=1&zoom=4&edge=curl&imgtk=AFLRE738g20XWBjKHgjnRhWXabg3V_jCp89NB7XFjVHTdwp8gVzu2lBlL8qNa7uKz-ajWlNxzeA5vmNPE9iAJ9zjwe5cWrHhjqWG5OW0x2oSl7h4UxMNQuqKE1OmtIQCxHwmec5pOEER&source=gbs_api"", ""extraLarge"": ""http://books.google.com/books/content?id=XI0F7jSjg44C&printsec=frontcover&img=1&zoom=6&edge=curl&imgtk=AFLRE72ijl_MCGNqaVYgnrrWTuugvqsVTBQyGvGKP3lo7oOdIXuGWAsAWfnJchXlC2Pn27aoE47fWq0Qwrh3Gg_D2ZcTxKnTL-EmH1mTQRghoyhJEIG86X-l4Fi-J8uHJT7nHGyWEnMN&source=gbs_api""}, ""language"": ""en"", ""previewLink"": ""http://books.google.co.id/books?id=XI0F7jSjg44C&hl=&source=gbs_api"", ""infoLink"": ""https://play.google.com/store/books/details?id=XI0F7jSjg44C&source=gbs_api"", ""canonicalVolumeLink"": ""https://play.google.com/store/books/details?id=XI0F7jSjg44C""}",,
/Users/alharkan/Downloads/Library/Lib 1 - Asus/Dan Brown - Angels and Demons.pdf,Dan Brown - Angels and Demons.pdf,matched,Dan Brown - Angels and Demons,K__fyN2gl9gC,https://books.google.com/books?id=K__fyN2gl9gC,"{""title"": ""Angels & Demons"", ""authors"": [""Dan Brown""], ""publisher"": ""Simon and Schuster"", ""publishedDate"": ""2005-05-03"", ""description"": ""The explosive Robert Langdon thriller from Dan Brown, the #1 New York Times bestselling author of The Da Vinci Code, The Lost Symbol, Inferno, and The Secret of Secrets. An ancient secret brotherhood. A devastating new weapon of destruction. An unthinkable target. When world-renowned Harvard symbologist Robert Langdon is summoned to his first assignment to a Swiss research facility to analyze a mysterious symbol—seared into the chest of a murdered physicist—he discovers evidence of the unimaginable: the resurgence of an ancient secret brotherhood known as the Illuminati...the most powerful underground organization ever to walk the earth. The Illuminati has now surfaced to carry out the final phase of its legendary vendetta against its most hated enemy—the Catholic Church. Langdon’s worst fears are confirmed on the eve of the Vatican’s holy conclave, when a messenger of the Illuminati announces they have hidden an unstoppable time bomb at the very heart of Vatican City. With the countdown under way, Langdon jets to Rome to join forces with Vittoria Vetra, a beautiful and mysterious Italian scientist, to assist the Vatican in a desperate bid for survival. Embarking on a frantic hunt through sealed crypts, dangerous catacombs, deserted cathedrals, and the most secretive vault on earth, Langdon and Vetra follow a 400-year-old trail of ancient symbols that snakes across Rome toward the long-forgotten Illuminati lair...a clandestine location that contains the only hope for Vatican salvation. Critics have praised the exhilarating blend of relentless adventure, scholarly intrigue, and cutting wit found in Brown’s remarkable thrillers featuring Robert Langdon. An explosive international suspense, Angels & Demons marks this hero’s first adventure as it careens from enlightening epiphanies to dark truths as the battle between science and religion turns to war."", ""industryIdentifiers"": [{""type"": ""ISBN_13"", ""identifier"": ""9780743412391""}, {""type"": ""ISBN_10"", ""identifier"": ""0743412397""}], ""readingModes"": {""text"": true, ""image"": false}, ""pageCount"": 449, ""printType"": ""BOOK"", ""categories"": [""Fiction""], ""averageRating"": 4, ""ratingsCount"": 237, ""maturityRating"": ""NOT_MATURE"", ""allowAnonLogging"": true, ""contentVersion"": ""0.33.28.0.preview.2"", ""panelizationSummary"": {""containsEpubBubbles"": false, ""containsImageBubbles"": false}, ""imageLinks"": {""smallThumbnail"": ""http://books.google.com/books/content?id=K__fyN2gl9gC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api"", ""thumbnail"": ""http://books.google.com/books/content?id=K__fyN2gl9gC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api""}, ""language"": ""en"", ""previewLink"": ""http://books.google.co.id/books?id=K__fyN2gl9gC&printsec=frontcover&dq=Dan+Brown+-+Angels+and+Demons&hl=&cd=1&source=gbs_api"", ""infoLink"": ""https://play.google.com/store/books/details?id=K__fyN2gl9gC&source=gbs_api"", ""canonicalVolumeLink"": ""https://play.google.com/store/books/details?id=K__fyN2gl9gC""}",,
/Users/alharkan/Downloads/Library/Lib 1 - Asus/Dan Brown - Inferno.pdf,Dan Brown - Inferno.pdf,matched,MANUAL:y_uIAwAAQBAJ,y_uIAwAAQBAJ,https://books.google.co.id/books/?id=y_uIAwAAQBAJ&redir_esc=y,"{""title"": ""Inferno"", ""authors"": [""Dan Brown""], ""publisher"": ""Corgi Books"", ""publishedDate"": ""2014"", ""description"": ""<p><b>*NOW A MAJOR FILM STARRING TOM HANKS AND FELICITY JONES*</b></p> <p>Florence: Harvard symbologist Robert Langdon awakes in a hospital bed with no recollection of where he is or how he got there. Nor can he explain the origin of the macabre object that is found hidden in his belongings.</p> <p>A threat to his life will propel him and a young doctor, Sienna Brooks, into a breakneck chase across the city. Only Langdon's knowledge of the hidden passageways and ancient secrets that lie behind its historic facade can save them from the clutches of their unknown pursuers.</p> <p>With only a few lines from Dante's <i>Inferno</i> to guide them, they must decipher a sequence of codes buried deep within some of the Renaissance's most celebrated artworks to find the answers to a puzzle which may, or may not, help them save the world from a terrifying threat...</p>"", ""industryIdentifiers"": [{""type"": ""ISBN_10"", ""identifier"": ""0552169587""}, {""type"": ""ISBN_13"", ""identifier"": ""9780552169585""}], ""readingModes"": {""text"": false, ""image"": false}, ""pageCount"": 619, ""printedPageCount"": 626, ""dimensions"": {""height"": ""20.00 cm"", ""width"": ""12.90 cm"", ""thickness"": ""3.70 cm""}, ""printType"": ""BOOK"", ""categories"": [""Fiction / Action & Adventure"", ""Fiction / Mystery & Detective / General"", ""Fiction / Mystery & Detective / International Crime & Mystery"", ""Fiction / Thrillers / Suspense"", ""Fiction / Thrillers / General"", ""Fiction / Thrillers / Crime"", ""Fiction / Places / Europe""], ""averageRating"": 4, ""ratingsCount"": 2, ""maturityRating"": ""NOT_MATURE"", ""allowAnonLogging"": false, ""contentVersion"": ""1.3.1.0.preview.0"", ""panelizationSummary"": {""containsEpubBubbles"": false, ""containsImageBubbles"": false}, ""imageLinks"": {""smallThumbnail"": ""http://books.google.com/books/publisher/content?id=y_uIAwAAQBAJ&printsec=frontcover&img=1&zoom=5&imgtk=AFLRE72ziKIECw0gfPQxJzvUrJ15hFADoFeC0akWpJCM4FNyTH8fLCtXkNUf0B8krTDSjr7eEgyi59HUQZJyczqMzDi_4J-JkEyaGFH1g0DybgwQ6GJopy2kxUhk0nCQJQVAg1Y1O2bH&source=gbs_api"", ""thumbnail"": ""http://books.google.com/books/publisher/content?id=y_uIAwAAQBAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE71QwsKyhqOMrtVj93bbSLF4kjqhx4slYrOd8gvYcWnlh1wk4nnjJHYIRz7yiB4Bxfia4Dw9cFUjwcndXNiHFH4rrk5X-8aPjMe7aaUxyCxsO1OP-z0Bqicxb6hUkQa-8KWTYrpS&source=gbs_api""}, ""language"": ""en"", ""previewLink"": ""http://books.google.co.id/books?id=y_uIAwAAQBAJ&hl=&source=gbs_api"", ""infoLink"": ""https://play.google.com/store/books/details?id=y_uIAwAAQBAJ&source=gbs_api"", ""canonicalVolumeLink"": ""https://play.google.com/store/books/details?id=y_uIAwAAQBAJ""}",,
